Colonne1;Colonne2
Switzerland;4.67
Denmark;3.50
Luxembourg;3.02
Austria;2.98
Norway;2.98
France;2.90
Germany;2.80
Netherlands;2.76
Belgium;2.71
Israel;2.63
Finland;2.62
Iceland;2.61
Australia;2.56
Italy;2.51
Slovenia;2.89
New Zealand;2.33
United States;2.32
Croatia;2.29
Lebanon;2.23
Ireland;2.17
Lithuania;2.12
Uruguay;2.10
Malta;2.09
Spain;2.05
Montenegro;2.01
Sweden;1.97
Estonia;1.96
Greece;1.93
Costa Rica;1.88
United Kingdom;1.87
Canada;1.84
Cyprus;1.75
Slovakia;1.70
Czech Republic;1.60
Singapore;1.57
Portugal;1.56
panama;1.56
Romania;1.48
Poland;1.46
Bosnia And Herzegovina;1.46
Chile;1.45
Serbia;1.45
South Korea;1.43
Puerto Rico;1.41
Albania;1.41
North Macedonia;1.32
Latvia;1.26
Bulgaria;1.25
Hungary;1.24
Venezuela;1.23
Hong Kong (China);1.17
Japan;1.13
Kosovo (Disputed Territory);1.12
Jamaica;1.11
Argentina;1.09
Brazil;1.09
Mexico;1.08
United Arab Emirates;1.06
Qatar;1.06
Armenia;1.05
Mauritius;1.01
Taiwan (Chine);1.01
Guatemala;0.99
Dominican Republic;0.99
Trinidad And Tobago;0.96
Iran;0.93
Russia;0.92
Turkey;0.85
Ecuador;0.85
Bolivia;0.85
Belarus;0.84
South Africa;0.83
Palestine;0.81
Moldova;0.78
Peru;0.77
Saudi Arabia;0.74
Ukraine;0.72
Kazakhstan;0.71
Philippines;0.71
Colombia;0.7
Thailand;0.64
Malaysia;0.60
Indonesia;0.58
Vietnam;0.54
Kuwait;0.54
Sri Lanka;0.54
Uzbekistan;0.54
Morocco;0.52
Jordan;0.52
Tunisla;0.52
Azerbaijan;0.51
Libya;0.48
Algeria;0.48
China;0.48
Kenya;0.47
Iraq;0.46
Nepal;0.43
India;0.43
Nigeria;0.37
Bangladesh;0.29
Egypt;0.24
Pakistan;0.24
